iteration,best_fitness,cache_size
1,0.8872260683762386,18
2,0.8945642388962203,36
3,0.8945642388962203,54
4,0.9018636238254778,72
5,0.9018636238254778,90
6,0.9018636238254778,108
7,0.9018636238254778,126
8,0.9066605098580629,144
9,0.9066605098580629,162
10,0.9066605098580629,180
11,0.9066605098580629,198
12,0.9066605098580629,216
13,0.9066605098580629,234
14,0.9066605098580629,252
15,0.9066605098580629,270
16,0.9066605098580629,288
