iteration,best_fitness,selected_features,cache_size
1,0.8554836252399132,52,12
2,0.8814010239513284,55,24
3,0.8814010239513284,55,36
4,0.8868183401968249,59,48
5,0.8868183401968249,59,60
6,0.8924321145402888,58,72
7,0.8924321145402888,58,84
8,0.8924321145402888,58,96
9,0.8924321145402888,58,108
10,0.8924321145402888,58,120
