task,model,accuracy,balanced_accuracy,macro_f1,weighted_f1
Grouped multiclass classification,CatBoost,0.7300610500610502,0.6374524681667538,0.6119890548048443,0.7233422465457103
Grouped multiclass classification,Random Forest,0.7454945054945055,0.5990473283330425,0.5912308894847601,0.7311549388526161
Grouped multiclass classification,LightGBM,0.7433455433455434,0.5773296412582127,0.5827107749126685,0.7142987206106425
Grouped multiclass classification,XGBoost,0.7367765567765567,0.5502037909180766,0.5668916222625862,0.7080560817359539
Grouped multiclass classification,Logistic Regression,0.6282783882783882,0.48305337519623237,0.4828158500574742,0.6387503332772742
Grouped multiclass classification,Extra Trees,0.6771184371184372,0.37281193674050817,0.39817611078640247,0.6135475975920944
