task,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped arrhythmia class classification,Random Forest,0.7565567765567766,0.6177207977207977,0.6248107736999362,0.6177207977207977,0.6080022894831105,0.7402564804075593
Grouped arrhythmia class classification,XGBoost,0.7322832722832724,0.5458198151055293,0.6024309076667567,0.5458198151055293,0.55856837649222,0.7022401489885302
Grouped arrhythmia class classification,Logistic Regression,0.626080586080586,0.4913829292400721,0.49550358156713925,0.4913829292400721,0.48616131748443614,0.6384704339807283
Grouped arrhythmia class classification,Extra Trees,0.6726739926739927,0.36664224664224665,0.5144950542751014,0.36664224664224665,0.3951159208812964,0.6095886443763237
