mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__subsample,param_selector__k,param_selector__score_func,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
2.0644823551177978,0.20615911940579687,0.05527243614196777,0.007826967652244787,0.8685239168468276,0.03660703172539426,6,6.228763541126306,147,0.2184404372168336,5.998119374444395,0.9591480906216039,157,<function main.<locals>.<lambda> at 0x0000022A709F7880>,"{'classifier__colsample_bytree': np.float64(0.8685239168468276), 'classifier__learning_rate': np.float64(0.03660703172539426), 'classifier__max_depth': 6, 'classifier__min_child_weight': np.float64(6.228763541126306), 'classifier__n_estimators': 147, 'classifier__reg_alpha': np.float64(0.2184404372168336), 'classifier__reg_lambda': np.float64(5.998119374444395), 'classifier__subsample': np.float64(0.9591480906216039), 'selector__k': 157, 'selector__score_func': <function main.<locals>.<lambda> at 0x0000022A709F7880>}",0.7653061224489797,0.75,0.8698357391737183,0.7008461921353908,0.8514186162269786,0.7874813339970135,0.06367489665754046,1,0.9417903525046383,0.9488095238095238,0.9413572657978855,0.9580464716006885,0.9473813621834276,0.9474769951792327,0.006054545443773365,0.7692307692307693,0.7582417582417582,0.8777777777777778,0.7111111111111111,0.8555555555555555,0.7943833943833944,0.06256165288840208,1,0.9445983379501385,0.9501385041551247,0.9419889502762431,0.9585635359116023,0.9475138121546961,0.948560628089561,0.00570140989242205,0.7407407407407407,0.7105263157894737,0.8533333333333334,0.6486486486486487,0.8354430379746836,0.7577384152973761,0.07693487792604248,3,0.9375,0.9447852760736196,0.9365558912386707,0.9546827794561934,0.9429429429429429,0.9432933779422854,0.0064965219407248495,0.8396501457725948,0.8396501457725948,0.9278247884519661,0.7491289198606271,0.9168740666998506,0.8546256133115266,0.06451522421191969,5,0.9895794681508967,0.9922077922077921,0.9888123924268503,0.9923776739611507,0.9914863535775756,0.990892736064853,0.0014380053708077441
1.2588263988494872,0.12399853978869656,0.06139063835144043,0.007592886708538638,0.9165668653650512,0.03138737895931597,6,4.793834983561477,317,0.39882444244455306,10.797182478632607,0.9294207937445929,153,<function f_classif at 0x0000022A708CEA20>,"{'classifier__colsample_bytree': np.float64(0.9165668653650512), 'classifier__learning_rate': np.float64(0.03138737895931597), 'classifier__max_depth': 6, 'classifier__min_child_weight': np.float64(4.793834983561477), 'classifier__n_estimators': 317, 'classifier__reg_alpha': np.float64(0.39882444244455306), 'classifier__reg_lambda': np.float64(10.797182478632607), 'classifier__subsample': np.float64(0.9294207937445929), 'selector__k': 153, 'selector__score_func': <function f_classif at 0x0000022A708CEA20>}",0.8129251700680272,0.7295918367346939,0.8616226978596317,0.6966152314584371,0.8290194126431061,0.7859548697527792,0.062395407884582844,2,0.9706555349412492,0.9776747062461348,0.9738136218342759,0.9666215883943938,0.9687115810179494,0.9714954064868007,0.003892737832551819,0.8131868131868132,0.7362637362637363,0.8666666666666667,0.7,0.8333333333333334,0.78989010989011,0.062097841383526,2,0.9722991689750693,0.9778393351800554,0.9751381215469613,0.9668508287292817,0.9696132596685083,0.9723481428199751,0.0038894632363306227,0.8,0.6923076923076923,0.8461538461538461,0.6666666666666666,0.810126582278481,0.7630509574813372,0.07040167239786063,1,0.9691358024691358,0.9757575757575757,0.9724770642201835,0.963855421686747,0.9665653495440729,0.9695582427355429,0.004209733533754496,0.8634596695821186,0.8406219630709427,0.9218516674962668,0.759581881533101,0.9029367844698856,0.8576903932304629,0.05676935962437166,2,0.9982683982683983,0.9973098330241188,0.9978485370051635,0.9970801573641506,0.9975104499631178,0.9976034751249898,0.00041735331667774417
1.0506511211395264,0.07197764954928917,0.05211992263793945,0.003954229863044131,0.9734146156876016,0.031250487980566385,5,3.2134818374186347,335,0.7205160613914648,1.7480963501348974,0.7017086821671794,144,<function f_classif at 0x0000022A708CEA20>,"{'classifier__colsample_bytree': np.float64(0.9734146156876016), 'classifier__learning_rate': np.float64(0.031250487980566385), 'classifier__max_depth': 5, 'classifier__min_child_weight': np.float64(3.2134818374186347), 'classifier__n_estimators': 335, 'classifier__reg_alpha': np.float64(0.7205160613914648), 'classifier__reg_lambda': np.float64(1.7480963501348974), 'classifier__subsample': np.float64(0.7017086821671794), 'selector__k': 144, 'selector__score_func': <function f_classif at 0x0000022A708CEA20>}",0.8010204081632653,0.7278911564625851,0.8514186162269786,0.7088103534096566,0.8270283723245395,0.783233781317405,0.055650974394062545,3,0.996969696969697,0.9944186765615337,0.9969879518072289,0.9918859109909024,0.9944369313990657,0.9949398335456856,0.0019061003161022169,0.8021978021978022,0.7362637362637363,0.8555555555555555,0.7111111111111111,0.8333333333333334,0.7876923076923077,0.05551308067825789,5,0.997229916897507,0.9944598337950139,0.9972375690607734,0.9917127071823204,0.994475138121547,0.9950230330114322,0.0020664048810951578,0.7857142857142857,0.6842105263157895,0.8354430379746836,0.6829268292682927,0.8051948051948052,0.7586978968935714,0.06335816836164306,2,0.9969604863221885,0.9939393939393939,0.9969788519637462,0.990990990990991,0.9939759036144579,0.9945691253661556,0.002239504803319149,0.8595724003887268,0.8367346938775511,0.9198606271777003,0.754604280736685,0.9059233449477352,0.8553390694256796,0.058708333101244625,4,0.9999690785405072,0.9999381570810142,1.0,0.9998155888861568,0.9998770592574379,0.9999199767530232,6.615733986931346e-05
3.1774272441864015,0.445216850846846,0.07719569206237793,0.01920564081608701,0.9429373559830809,0.08801818347797571,6,2.335458505426183,512,0.8218600592903562,9.474906725877954,0.678472073224665,112,<function main.<locals>.<lambda> at 0x0000022A709F7880>,"{'classifier__colsample_bytree': np.float64(0.9429373559830809), 'classifier__learning_rate': np.float64(0.08801818347797571), 'classifier__max_depth': 6, 'classifier__min_child_weight': np.float64(2.335458505426183), 'classifier__n_estimators': 512, 'classifier__reg_alpha': np.float64(0.8218600592903562), 'classifier__reg_lambda': np.float64(9.474906725877954), 'classifier__subsample': np.float64(0.678472073224665), 'selector__k': 112, 'selector__score_func': <function main.<locals>.<lambda> at 0x0000022A709F7880>}",0.7687074829931972,0.7482993197278911,0.8250373320059732,0.7374315579890494,0.8310104529616724,0.7820972291355567,0.038866340349045424,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7692307692307693,0.7582417582417582,0.8333333333333334,0.7444444444444445,0.8333333333333334,0.7877167277167277,0.038065061151280354,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7529411764705882,0.7027027027027027,0.8,0.7012987012987013,0.8148148148148148,0.7543514790573613,0.04737886599613512,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8459669582118562,0.8245869776482021,0.9104031856645097,0.7685415629666499,0.9064211050273768,0.851183957903719,0.05314591469600798,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.6513524532318116,0.455960453239214,0.08142251968383789,0.016040620993036304,0.9287900454010816,0.02650913108795474,6,4.581100947678922,241,0.15599452033620265,1.6970033460183935,0.9531616510212273,129,<function f_classif at 0x0000022A708CEA20>,"{'classifier__colsample_bytree': np.float64(0.9287900454010816), 'classifier__learning_rate': np.float64(0.02650913108795474), 'classifier__max_depth': 6, 'classifier__min_child_weight': np.float64(4.581100947678922), 'classifier__n_estimators': 241, 'classifier__reg_alpha': np.float64(0.15599452033620265), 'classifier__reg_lambda': np.float64(1.6970033460183935), 'classifier__subsample': np.float64(0.9531616510212273), 'selector__k': 129, 'selector__score_func': <function f_classif at 0x0000022A708CEA20>}",0.7210884353741496,0.7653061224489797,0.8474365355898457,0.7292185166749627,0.839223494275759,0.7804546208727394,0.05351507589220612,5,0.9853277674706247,0.9888373531230674,0.9884128350135235,0.9918859109909024,0.9867838701745759,0.9882495473545388,0.002203648168962955,0.7252747252747253,0.7692307692307693,0.8555555555555555,0.7333333333333333,0.8444444444444444,0.7855677655677656,0.05476374371948885,7,0.9861495844875346,0.9889196675900277,0.988950276243094,0.9917127071823204,0.9861878453038674,0.9883840161613687,0.0020738181302378156,0.691358024691358,0.7407407407407407,0.8266666666666667,0.7,0.8205128205128205,0.7558556505223171,0.057797936934432206,4,0.9847094801223242,0.9878787878787879,0.9878787878787879,0.990990990990991,0.9850746268656716,0.9873065347473124,0.002278432383102563,0.804178814382896,0.8430515063168126,0.9168740666998507,0.7770034843205575,0.9163763066202091,0.8514968356680651,0.05717185707949606,8,0.999752628324057,0.9995670995670995,0.9994467666584707,0.9994467666584707,0.9992316203589869,0.9994889763134169,0.0001705350537000761
0.7295383453369141,0.022860283134698657,0.058258438110351564,0.002529532634147312,0.8491785142080117,0.015716064663100122,2,3.488917014025991,504,0.013671964826997285,1.9043087242295478,0.8921000390091192,124,<function f_classif at 0x0000022A708CEA20>,"{'classifier__colsample_bytree': np.float64(0.8491785142080117), 'classifier__learning_rate': np.float64(0.015716064663100122), 'classifier__max_depth': 2, 'classifier__min_child_weight': np.float64(3.488917014025991), 'classifier__n_estimators': 504, 'classifier__reg_alpha': np.float64(0.013671964826997285), 'classifier__reg_lambda': np.float64(1.9043087242295478), 'classifier__subsample': np.float64(0.8921000390091192), 'selector__k': 124, 'selector__score_func': <function f_classif at 0x0000022A708CEA20>}",0.7534013605442177,0.739795918367347,0.8190642110502737,0.7496266799402689,0.839223494275759,0.7802223328355733,0.04069295288385179,6,0.8963358070500929,0.9387600494743352,0.9112367838701746,0.9258359970494221,0.9103147283009589,0.9164966731489967,0.014527383078230432,0.7582417582417582,0.7472527472527473,0.8333333333333334,0.7555555555555555,0.8444444444444444,0.7877655677655678,0.0420460346803108,3,0.9030470914127424,0.9418282548476454,0.914364640883978,0.9281767955801105,0.914364640883978,0.9203562847216908,0.013368722122470016,0.725,0.7012987012987013,0.782608695652174,0.717948717948718,0.8205128205128205,0.7494737870824828,0.044851090432587004,6,0.8852459016393442,0.9341692789968652,0.9034267912772586,0.9197530864197531,0.9022082018927445,0.908960652045193,0.016676690903111732,0.8027210884353743,0.8406219630709427,0.9168740666998507,0.7924340467894475,0.9313091090094574,0.8567920548010145,0.05742775285035271,3,0.9773964131106987,0.9835497835497835,0.9758421440865503,0.9805753626751905,0.9767949348414064,0.9788317276527259,0.0028441721899093793
0.30365304946899413,0.015744560376743055,0.05050349235534668,0.0055097844285833045,0.7461561289590681,0.02865048841072508,2,5.03020410643514,153,0.3581627180328405,2.3626911063955482,0.8850506184574799,147,<function f_classif at 0x0000022A708CEA20>,"{'classifier__colsample_bytree': np.float64(0.7461561289590681), 'classifier__learning_rate': np.float64(0.02865048841072508), 'classifier__max_depth': 2, 'classifier__min_child_weight': np.float64(5.03020410643514), 'classifier__n_estimators': 153, 'classifier__reg_alpha': np.float64(0.3581627180328405), 'classifier__reg_lambda': np.float64(2.3626911063955482), 'classifier__subsample': np.float64(0.8850506184574799), 'selector__k': 147, 'selector__score_func': <function f_classif at 0x0000022A708CEA20>}",0.7959183673469388,0.7363945578231292,0.8190642110502737,0.7272274763563962,0.81483325037332,0.7786875725900116,0.03916764952397708,7,0.8791125541125542,0.8810296846011132,0.8730022129333661,0.8957155151217113,0.863505040570445,0.8784730014678379,0.010566165945584436,0.8021978021978022,0.7472527472527473,0.8333333333333334,0.7333333333333333,0.8222222222222222,0.7876678876678878,0.040189751803347655,6,0.8864265927977839,0.8864265927977839,0.8784530386740331,0.9005524861878453,0.8701657458563536,0.8844048912627599,0.010070721793404838,0.7692307692307693,0.684931506849315,0.782608695652174,0.6923076923076923,0.7894736842105263,0.7437104696500955,0.04551009002440745,11,0.8646864686468647,0.8681672025723473,0.8589743589743589,0.8853503184713376,0.8469055374592834,0.8648167772248383,0.012552410186168558,0.8824101068999027,0.84645286686103,0.9039323046291687,0.7590841214534594,0.9133897461423593,0.8610538291971841,0.05593694995914892,1,0.9531230674087817,0.9629560915275202,0.9510388492746497,0.9649311531841653,0.9558028030489304,0.9575703928888094,0.005454368555638995
2.2744278430938722,0.14066997676983375,0.06332378387451172,0.009373000490649484,0.6927307841452357,0.04206680542692774,2,2.632793496307812,402,0.4271077886262563,10.816177191069917,0.9512557041397203,132,<function main.<locals>.<lambda> at 0x0000022A709F7880>,"{'classifier__colsample_bytree': np.float64(0.6927307841452357), 'classifier__learning_rate': np.float64(0.04206680542692774), 'classifier__max_depth': 2, 'classifier__min_child_weight': np.float64(2.632793496307812), 'classifier__n_estimators': 402, 'classifier__reg_alpha': np.float64(0.4271077886262563), 'classifier__reg_lambda': np.float64(10.816177191069917), 'classifier__subsample': np.float64(0.9512557041397203), 'selector__k': 132, 'selector__score_func': <function main.<locals>.<lambda> at 0x0000022A709F7880>}",0.7670068027210885,0.7380952380952381,0.8230462916874066,0.7130413140866103,0.839223494275759,0.7760826281732206,0.04835695266907002,8,0.949443413729128,0.9392393320964749,0.9198119006638801,0.9425252028522252,0.939974182444062,0.938198806357154,0.009873923805862784,0.7692307692307693,0.7472527472527473,0.8333333333333334,0.7222222222222222,0.8444444444444444,0.7832967032967033,0.04789534444986638,8,0.9529085872576177,0.9418282548476454,0.9226519337016574,0.9447513812154696,0.9419889502762431,0.9408258214597266,0.009940333860655978,0.7469879518072289,0.6933333333333334,0.7945205479452054,0.6666666666666666,0.8205128205128205,0.744404264053051,0.05824466281462331,10,0.9463722397476341,0.9345794392523364,0.9130434782608695,0.9382716049382716,0.9353846153846154,0.9335302755167454,0.011060238990942906,0.8600583090379009,0.8138969873663751,0.9099054255848681,0.7466401194624191,0.9069188651070185,0.8474839413117163,0.06145669445980524,15,0.9902597402597403,0.9902288188002474,0.9855851979345955,0.989334890582739,0.9871834275879027,0.9885184150330449,0.001844466369471539
1.6072158336639404,0.20185611790719393,0.07721953392028809,0.04174735414999684,0.6687198538615792,0.09626873471948784,4,1.5477200607168013,574,0.9568008851264563,9.12123885309164,0.8188823323749249,140,<function f_classif at 0x0000022A708CEA20>,"{'classifier__colsample_bytree': np.float64(0.6687198538615792), 'classifier__learning_rate': np.float64(0.09626873471948784), 'classifier__max_depth': 4, 'classifier__min_child_weight': np.float64(1.5477200607168013), 'classifier__n_estimators': 574, 'classifier__reg_alpha': np.float64(0.9568008851264563), 'classifier__reg_lambda': np.float64(9.12123885309164), 'classifier__subsample': np.float64(0.8188823323749249), 'selector__k': 140, 'selector__score_func': <function f_classif at 0x0000022A708CEA20>}",0.7908163265306123,0.7619047619047619,0.7944250871080138,0.7720258835241414,0.7558486809357889,0.7750041480006636,0.0153270594670308,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7912087912087912,0.7692307692307693,0.8,0.7777777777777778,0.7666666666666667,0.780976800976801,0.012802801883685771,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7764705882352941,0.7272727272727273,0.7692307692307693,0.7435897435897436,0.7123287671232876,0.7457785190903644,0.02432345419834143,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8532555879494654,0.8022351797862002,0.8820308611249378,0.7590841214534594,0.8830263812842211,0.8359264263196569,0.048340799371334765,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.7597403526306152,0.6086590735185174,0.057152080535888675,0.005817837413198181,0.9524586477751661,0.030716674141739973,4,4.432025195255099,311,0.6454722959071678,3.1253281528845873,0.97916050452352,75,<function main.<locals>.<lambda> at 0x0000022A709F7880>,"{'classifier__colsample_bytree': np.float64(0.9524586477751661), 'classifier__learning_rate': np.float64(0.030716674141739973), 'classifier__max_depth': 4, 'classifier__min_child_weight': np.float64(4.432025195255099), 'classifier__n_estimators': 311, 'classifier__reg_alpha': np.float64(0.6454722959071678), 'classifier__reg_lambda': np.float64(3.1253281528845873), 'classifier__subsample': np.float64(0.97916050452352), 'selector__k': 75, 'selector__score_func': <function main.<locals>.<lambda> at 0x0000022A709F7880>}",0.7551020408163265,0.7602040816326531,0.7986560477849677,0.7252364360378298,0.8290194126431061,0.7736436037829767,0.036220896631222146,10,0.9762368583797155,0.9888373531230674,0.9772866978116548,0.9858618146053602,0.9828497664125891,0.9822144980664774,0.004849414077662573,0.7582417582417582,0.7692307692307693,0.8111111111111111,0.7333333333333333,0.8333333333333334,0.781050061050061,0.0362601923092443,10,0.9778393351800554,0.9889196675900277,0.9779005524861878,0.9861878453038674,0.9834254143646409,0.9828545629849559,0.0044253105234021975,0.7317073170731707,0.72,0.7605633802816901,0.6842105263157895,0.810126582278481,0.7413215611898262,0.0422210646357096,12,0.9753086419753086,0.9878787878787879,0.9757575757575757,0.9848942598187311,0.9818181818181818,0.9811314894497171,0.004958639418844422,0.8498542274052479,0.8284742468415938,0.9064211050273768,0.7486311597809856,0.8914883026381284,0.8449738083386664,0.05570875766206784,20,0.9993197278911564,0.9991960420531849,0.9982788296041308,0.9987705925743791,0.9985554462748956,0.9988241276795493,0.00038893330194498935
