model,accuracy,accuracy_std,precision,recall,f1,roc_auc,roc_auc_std,pr_auc
Naive Bayes,0.8546448087431694,0.040314760853411256,0.8631625853739797,0.8201058201058201,0.8384574970952681,0.9022105980439313,0.023032524768189618,0.8949294982422167
Random Forest,0.8349180327868853,0.03631656331153248,0.8414592703648175,0.7910052910052909,0.8142458161034012,0.9137027517235851,0.01897892230261444,0.912853274868106
ExtraTreesClassifier,0.8316393442622949,0.028832788459427296,0.8257184870088097,0.8052910052910052,0.8139514051666273,0.9135902677569344,0.020349300716942763,0.9089693021119025
Logistic Regression,0.8249726775956283,0.04771264780045424,0.8192881337109222,0.7984126984126985,0.8067434999078001,0.9109813411896746,0.01784165075681241,0.9073781709609285
SVC RBF,0.8216939890710382,0.038655785598274574,0.8148747055043906,0.7984126984126985,0.8048061329795075,0.897964516193683,0.02316161992518963,0.8977906114482721
