model,accuracy,accuracy_std,precision,recall,f1,roc_auc,roc_auc_std,pr_auc
XGBClassifier,0.9201680672268908,0.018506483651718694,0.9304581880627751,0.9188940092165898,0.9240207495481745,0.962822041663298,0.010639849233295723,0.9557629611304833
CatBoostClassifier,0.9176470588235295,0.019455188071916343,0.9228067153897701,0.922068612391193,0.9219795672180439,0.9639838844422884,0.011316181977061752,0.9540959331279053
Random Forest,0.9109243697478993,0.019599838302001005,0.9146991974309614,0.9188940092165898,0.9160317192450815,0.963559051237926,0.011061855181270586,0.9581030005829412
ExtraTreesClassifier,0.8899159663865547,0.023604322529727967,0.8924072257873862,0.9013824884792626,0.8964281380195229,0.9549158514565985,0.011370848481236508,0.954854490474587
LGBMClassifier,0.8899159663865547,0.02299820535025884,0.8988239236317923,0.8934715821812595,0.8955428282339035,0.9496170341368012,0.0136095891484385,0.9465314231256615
SVC RBF,0.8722689075630253,0.02310542367204627,0.8727585102199276,0.8887096774193548,0.8803205594718152,0.9380262772907692,0.01639087434625147,0.9369558769362485
GradientBoostingClassifier,0.8638655462184875,0.029061540278639622,0.8641365466894042,0.8822836661546338,0.8726241646052459,0.9336888207461819,0.01372075117549865,0.9327793669429145
Logistic Regression,0.8470588235294118,0.026520561072368908,0.8522759778540033,0.8615975422427036,0.8562935607309281,0.9173118568310177,0.020478991214976223,0.9242964481260817
Naive Bayes,0.784873949579832,0.03817753509781699,0.9206600662967123,0.6534050179211469,0.7588861979160635,0.9084111007164608,0.0132267787906055,0.9122571054346127
