model,accuracy,accuracy_std,precision,recall,f1,roc_auc,roc_auc_std,pr_auc
Tuned CatBoostClassifier,0.9425770308123249,0.02082082457607633,0.9437558803678326,0.948557774364226,0.945636986040089,0.9677886953687339,0.015530257677974448,0.9585714102060859
Tuned Soft Voting Hybrid,0.9417366946778711,0.015934411936501823,0.9389119373104372,0.9522870797064346,0.9451840017046912,0.9721428507264065,0.014297868720400515,0.9663434068142169
Tuned Stacking Hybrid,0.9406162464985994,0.016797383025843066,0.9402674649001863,0.9485833760027308,0.9439841006158876,0.9719065328451697,0.014411445424952542,0.9661094656788859
Tuned LGBMClassifier,0.9380952380952381,0.017151002257525635,0.9389611444830182,0.9448711384195255,0.9415432177685097,0.9690265891302758,0.0160345885934675,0.9599942504451013
Tuned ExtraTreesClassifier,0.9341736694677871,0.015507686874696247,0.9312978587248216,0.9459549411162314,0.938102842082929,0.9691900802954645,0.01051005185993585,0.9650459423092628
Tuned XGBClassifier,0.9327731092436975,0.01762703946504456,0.9327999016257448,0.9411589008363201,0.9365764547250598,0.9637178263118114,0.016330493930567624,0.9541359422116766
Tuned Random Forest,0.9305322128851541,0.018273956784649957,0.9296334516841948,0.9406468680662229,0.9347004294884399,0.9674666537054362,0.014512531200317376,0.9608040600923863
