model,accuracy,accuracy_std,precision,recall,f1,roc_auc,roc_auc_std,pr_auc
SVC RBF,0.8202720361130911,0.01808389213204371,0.8422223258235333,0.8307318967190837,0.8363578249614836,0.8794832639648471,0.021996457848018416,0.8834222579545463
ExtraTreesClassifier,0.8180921834164885,0.0255663425290728,0.845547628662449,0.8208891477383032,0.8326417520438676,0.8918656571539507,0.023268488557283327,0.8982914833579659
Naive Bayes,0.8169933475885008,0.010642317026627136,0.86663504709908,0.7913026596777325,0.8270975132612477,0.8823967403913994,0.019026455463695545,0.8912687697341388
Logistic Regression,0.8159123307198859,0.019178233977169785,0.8508969305935432,0.8091050281498738,0.8291763064497404,0.8914967967384975,0.017509118865127758,0.9029228588668683
Random Forest,0.808327393680209,0.025032611542450185,0.8282170058103434,0.8248883711900602,0.8262144584026215,0.8844342325193782,0.02220140895042231,0.8959602339982041
