study,dataset,method,accuracy,sensitivity_recall,roc_auc,comparison_type,source
"Ensemble learning with explainable AI, Scientific Reports 2025",HDDC / D1,Stacking ensemble,91%,Not reported in summary line,0.92,Same family of heart-disease benchmark; protocol differs,https://www.nature.com/articles/s41598-025-97547-6
"Ensemble learning with explainable AI, Scientific Reports 2025",UHDD / D2,Stacking ensemble,98%,Not reported in summary line,0.97,Same family of heart-disease benchmark; protocol differs,https://www.nature.com/articles/s41598-025-97547-6
"Optimized Ensemble Learning with XAI, Information 2024",Cleveland,Bayesian-optimized XGBoost + SHAP,98.40%,98.90%,Not reported in Table 5,Dataset overlaps with UCI Cleveland; protocol differs,https://pdfs.semanticscholar.org/3747/6c8130d1b63c9b1894870c9243026c98a24e.pdf
"Optimized Ensemble Learning with XAI, Information 2024",Framingham,Bayesian-optimized XGBoost + SHAP,95.90%,97.50%,Not reported in Table 6,Different dataset; indirect comparison only,https://pdfs.semanticscholar.org/3747/6c8130d1b63c9b1894870c9243026c98a24e.pdf
This work,OpenML Heart 1190,Tuned CatBoostClassifier,94.26%,94.86%,0.9678,Our reproducible repeated-CV result,Generated by this notebook
This work,OpenML Heart 1190,Tuned Soft Voting Hybrid,94.17%,95.23%,0.9721,Our reproducible repeated-CV hybrid result,Generated by this notebook
This work,OpenML Heart 1190 + FT-Transformer,Feature Tokenizer Transformer,88.24%,92.06%,0.9280,Our deep tabular baseline,Generated by this notebook
