dataset,model,accuracy,f1,recall,roc_auc
Kaggle CVD 70k,GradientBoostingClassifier,0.7222951297754447,0.7392703128208639,0.7957559681697612,0.8013426973197088
UCI Cleveland,Random Forest,0.8349180327868853,0.8142458161034012,0.7910052910052909,0.9137027517235851
UCI All Processed,SVC RBF,0.8202720361130911,0.8363578249614836,0.8307318967190837,0.8794832639648471
OpenML Heart 1190,Tuned CatBoostClassifier,0.9425770308123249,0.945636986040089,0.948557774364226,0.9677886953687339
OpenML Heart 1190,Tuned Soft Voting Hybrid,0.9417366946778711,0.9451840017046912,0.9522870797064346,0.9721428507264065
OpenML Heart 1190 + Feature Selection,Mutual Information SelectKBest + Tuned XGB,0.9056022408963587,0.9099582241105278,0.9024492234169655,0.9513984895033283
OpenML Heart 1190 + FT-Transformer,Feature Tokenizer Transformer,0.8823529411764706,0.8923076923076924,0.9206349206349206,0.9280045351473921
