feature,score
chest_pain_type_4.0,0.16581578584094214
ST_slope_1.0,0.15418715066201805
exercise_angina_1.0,0.14894944161593493
oldpeak,0.13154787611950236
max_heart_rate,0.12996989411272364
ST_slope_2.0,0.11718118524029997
exercise_angina_0.0,0.11329627258850583
cholesterol,0.1070479114244074
