model,accuracy,accuracy_std,precision,recall,f1,roc_auc,roc_auc_std,pr_auc
Mutual Information SelectKBest + Tuned XGB,0.9056022408963587,0.024032568715744138,0.9186739304993059,0.9024492234169655,0.9099582241105278,0.9513984895033283,0.020192601685042257,0.942211982358863
ANOVA SelectKBest + Tuned CatBoost,0.8848739495798321,0.027629045752560664,0.8970802603135988,0.8849462365591398,0.8899812455890987,0.9373624232752902,0.020877508346289826,0.9338148253261855
ANOVA SelectKBest + Tuned XGB,0.8742296918767508,0.029550161250152314,0.8912007080398058,0.869593787335723,0.8794324269747505,0.9270598972469576,0.026082331208140054,0.9272194124948427
