feature,importance
feature_014,12.28035199104821
feature_223,5.219997845899303
feature_004,3.9728089094132897
feature_075,3.6693375373547084
feature_092,2.5053618612459805
feature_248,2.29912375018694
feature_196,2.253485474106602
feature_239,1.9223904604511928
feature_227,1.8214084837588906
feature_276,1.8017557063382872
feature_178,1.7515978487661619
feature_166,1.715760184381767
feature_007,1.5828819893041928
feature_259,1.5802641612751736
feature_210,1.3672605354073466
feature_102,1.214746221771758
feature_190,1.2040758081025842
feature_246,1.1925079474927578
feature_006,1.1541024981233097
feature_000,1.1524609031479498
feature_176,1.1519486427728514
feature_232,1.1344583651979943
feature_233,1.057125189237704
feature_256,0.9970062318917198
feature_162,0.9929541892514501
feature_237,0.9900193404378379
feature_229,0.9718175037676297
feature_169,0.9554828890213627
feature_044,0.9452217241656204
feature_247,0.9159144193549077
feature_252,0.905960431951159
feature_189,0.8731557799354963
feature_090,0.8712341718398972
feature_255,0.8438063505852782
feature_242,0.8206621590309138
feature_167,0.8149775992044984
feature_261,0.78637433021938
feature_221,0.7793883371647585
feature_039,0.7601733059252938
feature_128,0.7571918956803282
feature_179,0.7438508294020632
feature_180,0.7259724693935931
feature_068,0.6635951781914888
feature_197,0.6179046008374355
feature_272,0.6052676151476466
feature_269,0.6049317854745628
feature_241,0.591489700998786
feature_111,0.5604276332445702
feature_113,0.5568761938690631
feature_168,0.5542372175275667
feature_265,0.5483530076815727
feature_225,0.5083091034493653
feature_240,0.4971530155607679
feature_206,0.4901316626732689
feature_198,0.4832147708937889
feature_040,0.41677784971464404
feature_171,0.4098284272650952
feature_029,0.3952511423742828
feature_112,0.3888982420514709
feature_010,0.3883131558218316
feature_017,0.38734767520817115
feature_089,0.38118403953124413
feature_012,0.37167475704958564
feature_008,0.367317815257911
feature_116,0.3657225406822832
feature_245,0.36091121775393703
feature_278,0.3585122657938261
feature_275,0.35472496269750403
feature_009,0.35304772993461536
feature_208,0.35081185475391297
feature_249,0.3437035516844919
feature_266,0.3408628402269761
feature_258,0.33251734484455175
feature_217,0.32286312729865796
feature_222,0.31704002956863314
feature_016,0.3161308755491948
feature_101,0.31100530664056836
feature_002,0.30890054312831433
